"","week_beginning","areauri","region","deaths"
"1058",2020-08-17,"S08000022","Highland",0
"1059",2020-08-17,"S12000047","Fife",0
"1060",2020-08-17,"S12000008","East Ayrshire",0
"1061",2020-08-17,"S08000020","Grampian",1
"1062",2020-08-17,"S12000033","Aberdeen City",0
"1063",2020-08-17,"S12000029","South Lanarkshire",0
"1064",2020-08-17,"S12000028","South Ayrshire",0
"1065",2020-08-17,"S12000042","Dundee City",0
"1066",2020-08-17,"S12000019","Midlothian",0
"1067",2020-08-17,"S12000026","Scottish Borders",0
"1068",2020-08-17,"S12000041","Angus",0
"1069",2020-08-17,"S08000029","Fife",0
"1070",2020-08-17,"S12000021","North Ayrshire",0
"1071",2020-08-17,"S12000035","Argyll and Bute",0
"1072",2020-08-17,"S12000030","Stirling",0
"1073",2020-08-17,"S12000023","Orkney Islands",0
"1074",2020-08-17,"S08000030","Tayside",0
"1075",2020-08-17,"S12000048","Perth and Kinross",0
"1076",2020-08-17,"S12000018","Inverclyde",0
"1077",2020-08-17,"S12000034","Aberdeenshire",0
"1078",2020-08-17,"S12000045","East Dunbartonshire",0
"1079",2020-08-17,"S12000027","Shetland Islands",0
"1080",2020-08-17,"S12000036","City of Edinburgh",1
"1081",2020-08-17,"S12000020","Moray",1
"1082",2020-08-24,"S08000020","Grampian",1
"1083",2020-08-24,"S08000017","Dumfries and Galloway",1
"1084",2020-08-24,"S92000003","Scotland",7
"1085",2020-08-24,"S12000029","South Lanarkshire",0
"1086",2020-08-24,"S12000035","Argyll and Bute",0
"1087",2020-08-24,"S08000022","Highland",0
"1088",2020-08-24,"S12000008","East Ayrshire",0
"1089",2020-08-24,"S12000014","Falkirk",0
"1090",2020-08-24,"S08000030","Tayside",0
"1091",2020-08-24,"S12000017","Highland",0
"1092",2020-08-24,"S12000010","East Lothian",0
"1093",2020-08-24,"S12000028","South Ayrshire",0
"1094",2020-08-24,"S12000034","Aberdeenshire",1
"1095",2020-08-24,"S12000036","City of Edinburgh",0
"1096",2020-08-24,"S12000018","Inverclyde",0
"1097",2020-08-24,"S12000049","Glasgow City",1
"1098",2020-08-24,"S12000027","Shetland Islands",0
"1099",2020-08-24,"S12000030","Stirling",0
"1100",2020-08-24,"S12000040","West Lothian",0
"1101",2020-08-24,"S12000038","Renfrewshire",0
"1102",2020-08-24,"S08000028","Western Isles",0
"1103",2020-08-24,"S12000011","East Renfrewshire",0
"1104",2020-08-24,"S12000006","Dumfries and Galloway",1
"1105",2020-08-24,"S12000013","Na h-Eileanan Siar",0
"1106",2020-08-24,"S12000026","Scottish Borders",1
"1107",2020-08-24,"S08000031","Greater Glasgow and Clyde",2
"1108",2020-08-24,"S08000026","Shetland",0
"1109",2020-08-24,"S12000048","Perth and Kinross",0
"1110",2020-08-24,"S08000029","Fife",0
"1111",2020-08-24,"S08000024","Lothian",1
"1112",2020-08-24,"S08000019","Forth Valley",0
"1113",2020-08-24,"S12000021","North Ayrshire",0
"1114",2020-08-24,"S08000016","Borders",1
"1115",2020-08-24,"S08000015","Ayrshire and Arran",0
"1116",2020-08-24,"S12000045","East Dunbartonshire",1
"1117",2020-08-24,"S12000020","Moray",0
"1118",2020-08-24,"S12000005","Clackmannanshire",0
"1119",2020-08-24,"S12000041","Angus",0
"1120",2020-08-24,"S08000032","Lanarkshire",1
"1121",2020-08-24,"S12000042","Dundee City",0
"1122",2020-08-24,"S12000033","Aberdeen City",0
"1123",2020-08-24,"S12000039","West Dunbartonshire",0
"1124",2020-08-24,"S12000047","Fife",0
"1125",2020-08-24,"S12000050","North Lanarkshire",1
"1126",2020-08-24,"S08000025","Orkney",0
"1127",2020-08-24,"S12000019","Midlothian",1
"1128",2020-08-24,"S12000023","Orkney Islands",0
"1129",2020-08-31,"S12000036","City of Edinburgh",0
"1130",2020-08-31,"S12000039","West Dunbartonshire",0
"1131",2020-08-31,"S12000048","Perth and Kinross",1
"1132",2020-08-31,"S12000042","Dundee City",0
"1133",2020-08-31,"S12000020","Moray",0
"1134",2020-08-31,"S08000017","Dumfries and Galloway",0
"1135",2020-08-31,"S12000047","Fife",0
"1136",2020-08-31,"S08000019","Forth Valley",0
"1137",2020-08-31,"S08000025","Orkney",0
"1138",2020-08-31,"S08000024","Lothian",0
"1139",2020-08-31,"S08000026","Shetland",0
"1140",2020-08-31,"S12000050","North Lanarkshire",0
"1141",2020-08-31,"S08000016","Borders",0
"1142",2020-08-31,"S08000015","Ayrshire and Arran",0
"1143",2020-08-31,"S12000026","Scottish Borders",0
"1144",2020-08-31,"S08000031","Greater Glasgow and Clyde",1
"1145",2020-08-31,"S12000013","Na h-Eileanan Siar",0
"1146",2020-08-31,"S12000021","North Ayrshire",0
"1147",2020-08-31,"S12000030","Stirling",0
"1148",2020-08-31,"S12000028","South Ayrshire",0
"1149",2020-08-31,"S12000027","Shetland Islands",0
"1150",2020-08-31,"S12000006","Dumfries and Galloway",0
"1151",2020-08-31,"S12000049","Glasgow City",1
"1152",2020-08-31,"S92000003","Scotland",2
"1153",2020-08-31,"S12000023","Orkney Islands",0
"1154",2020-08-31,"S12000033","Aberdeen City",0
"1155",2020-08-31,"S12000014","Falkirk",0
"1156",2020-08-31,"S12000017","Highland",0
"1157",2020-08-31,"S08000020","Grampian",0
"1158",2020-08-31,"S08000032","Lanarkshire",0
"1159",2020-08-31,"S12000038","Renfrewshire",0
"1160",2020-08-31,"S12000035","Argyll and Bute",0
"1161",2020-08-31,"S08000030","Tayside",1
"1162",2020-08-31,"S12000041","Angus",0
"1163",2020-08-31,"S12000034","Aberdeenshire",0
"1164",2020-08-31,"S12000008","East Ayrshire",0
"1165",2020-08-31,"S08000022","Highland",0
"1166",2020-08-31,"S12000010","East Lothian",0
"1167",2020-08-31,"S12000040","West Lothian",0
"1168",2020-08-31,"S12000005","Clackmannanshire",0
"1169",2020-08-31,"S12000011","East Renfrewshire",0
"1170",2020-08-31,"S12000018","Inverclyde",0
"1171",2020-08-31,"S12000019","Midlothian",0
"1172",2020-08-31,"S08000029","Fife",0
"1173",2020-08-31,"S12000029","South Lanarkshire",0
"1174",2020-08-31,"S08000028","Western Isles",0
"1175",2020-08-31,"S12000045","East Dunbartonshire",0
"1176",2020-09-07,"S12000013","Na h-Eileanan Siar",0
"1177",2020-09-07,"S08000020","Grampian",1
"1178",2020-09-07,"S12000011","East Renfrewshire",0
"1179",2020-09-07,"S08000032","Lanarkshire",0
"1180",2020-09-07,"S12000035","Argyll and Bute",0
"1181",2020-09-07,"S12000040","West Lothian",0
"1182",2020-09-07,"S12000005","Clackmannanshire",0
"1183",2020-09-07,"S12000010","East Lothian",0
"1184",2020-09-07,"S12000030","Stirling",0
"1185",2020-09-07,"S12000017","Highland",0
"1186",2020-09-07,"S08000017","Dumfries and Galloway",0
"1187",2020-09-07,"S08000028","Western Isles",0
"1188",2020-09-07,"S12000028","South Ayrshire",0
"1189",2020-09-07,"S12000036","City of Edinburgh",0
"1190",2020-09-07,"S12000018","Inverclyde",0
"1191",2020-09-07,"S12000049","Glasgow City",2
"1192",2020-09-07,"S08000019","Forth Valley",0
"1193",2020-09-07,"S12000027","Shetland Islands",0
"1194",2020-09-07,"S12000006","Dumfries and Galloway",0
"1195",2020-09-07,"S12000041","Angus",0
"1196",2020-09-07,"S08000030","Tayside",0
"1197",2020-09-07,"S12000045","East Dunbartonshire",0
"1198",2020-09-07,"S08000024","Lothian",0
"1199",2020-09-07,"S08000026","Shetland",0
"1200",2020-09-07,"S12000008","East Ayrshire",0
"1201",2020-09-07,"S12000026","Scottish Borders",0
"1202",2020-09-07,"S12000033","Aberdeen City",1
"1203",2020-09-07,"S08000015","Ayrshire and Arran",0
"1204",2020-09-07,"S08000031","Greater Glasgow and Clyde",3
"1205",2020-09-07,"S12000038","Renfrewshire",0
"1206",2020-09-07,"S08000016","Borders",0
"1207",2020-09-07,"S12000023","Orkney Islands",0
"1208",2020-09-07,"S12000050","North Lanarkshire",0
"1209",2020-09-07,"S12000014","Falkirk",0
"1210",2020-09-07,"S08000029","Fife",1
"1211",2020-09-07,"S08000025","Orkney",0
"1212",2020-09-07,"S12000020","Moray",0
"1213",2020-09-07,"S12000048","Perth and Kinross",0
"1214",2020-09-07,"S12000047","Fife",1
"1215",2020-09-07,"S12000042","Dundee City",0
"1216",2020-09-07,"S12000039","West Dunbartonshire",1
"1217",2020-09-07,"S08000022","Highland",0
"1218",2020-09-07,"S12000019","Midlothian",0
"1219",2020-09-07,"S12000029","South Lanarkshire",0
"1220",2020-09-07,"S12000021","North Ayrshire",0
"1221",2020-09-07,"S92000003","Scotland",5
"1222",2020-09-07,"S12000034","Aberdeenshire",0
"1223",2020-09-14,"S12000023","Orkney Islands",0
"1224",2020-09-14,"S12000041","Angus",0
"1225",2020-09-14,"S92000003","Scotland",11
"1226",2020-09-14,"S12000018","Inverclyde",0
"1227",2020-09-14,"S12000034","Aberdeenshire",0
"1228",2020-09-14,"S08000029","Fife",1
"1229",2020-09-14,"S12000040","West Lothian",0
"1230",2020-09-14,"S12000013","Na h-Eileanan Siar",0
"1231",2020-09-14,"S12000042","Dundee City",0
"1232",2020-09-14,"S12000017","Highland",0
"1233",2020-09-14,"S08000022","Highland",1
"1234",2020-09-14,"S12000030","Stirling",0
"1235",2020-09-14,"S12000014","Falkirk",0
"1236",2020-09-14,"S12000011","East Renfrewshire",2
"1237",2020-09-14,"S08000032","Lanarkshire",4
"1238",2020-09-14,"S08000020","Grampian",1
"1239",2020-09-14,"S12000008","East Ayrshire",0
"1240",2020-09-14,"S12000035","Argyll and Bute",1
"1241",2020-09-14,"S08000025","Orkney",0
"1242",2020-09-14,"S08000024","Lothian",0
"1243",2020-09-14,"S12000045","East Dunbartonshire",0
"1244",2020-09-14,"S12000021","North Ayrshire",1
"1245",2020-09-14,"S08000016","Borders",0
"1246",2020-09-14,"S08000015","Ayrshire and Arran",1
"1247",2020-09-14,"S12000029","South Lanarkshire",0
"1248",2020-09-14,"S12000038","Renfrewshire",0
"1249",2020-09-14,"S12000033","Aberdeen City",1
"1250",2020-09-14,"S08000031","Greater Glasgow and Clyde",3
"1251",2020-09-14,"S12000010","East Lothian",0
"1252",2020-09-14,"S12000020","Moray",0
"1253",2020-09-14,"S12000039","West Dunbartonshire",0
"1254",2020-09-14,"S12000005","Clackmannanshire",0
"1255",2020-09-14,"S08000030","Tayside",0
"1256",2020-09-14,"S08000026","Shetland",0
"1257",2020-09-14,"S12000026","Scottish Borders",0
"1258",2020-09-14,"S12000050","North Lanarkshire",4
"1259",2020-09-14,"S12000019","Midlothian",0
"1260",2020-09-14,"S12000006","Dumfries and Galloway",0
"1261",2020-09-14,"S12000028","South Ayrshire",0
"1262",2020-09-14,"S12000036","City of Edinburgh",0
"1263",2020-09-14,"S08000028","Western Isles",0
"1264",2020-09-14,"S12000047","Fife",1
"1265",2020-09-14,"S12000048","Perth and Kinross",0
"1266",2020-09-14,"S12000027","Shetland Islands",0
"1267",2020-09-14,"S08000017","Dumfries and Galloway",0
"1268",2020-09-14,"S12000049","Glasgow City",1
"1269",2020-09-14,"S08000019","Forth Valley",0
"1270",2020-09-21,"S12000039","West Dunbartonshire",0
"1271",2020-09-21,"S08000031","Greater Glasgow and Clyde",3
"1272",2020-09-21,"S08000017","Dumfries and Galloway",0
"1273",2020-09-21,"S92000003","Scotland",10
"1274",2020-09-21,"S12000038","Renfrewshire",1
"1275",2020-09-21,"S12000048","Perth and Kinross",0
"1276",2020-09-21,"S12000018","Inverclyde",0
"1277",2020-09-21,"S12000028","South Ayrshire",0
"1278",2020-09-21,"S08000028","Western Isles",0
"1279",2020-09-21,"S12000049","Glasgow City",0
"1280",2020-09-21,"S08000029","Fife",1
"1281",2020-09-21,"S12000035","Argyll and Bute",1
"1282",2020-09-21,"S08000024","Lothian",0
"1283",2020-09-21,"S12000034","Aberdeenshire",0
"1284",2020-09-21,"S12000050","North Lanarkshire",2
"1285",2020-09-21,"S08000026","Shetland",0
"1286",2020-09-21,"S12000008","East Ayrshire",0
"1287",2020-09-21,"S12000026","Scottish Borders",0
"1288",2020-09-21,"S12000017","Highland",0
"1289",2020-09-21,"S08000019","Forth Valley",1
"1290",2020-09-21,"S08000022","Highland",1
"1291",2020-09-21,"S12000019","Midlothian",0
"1292",2020-09-21,"S08000030","Tayside",1
"1293",2020-09-21,"S12000005","Clackmannanshire",0
"1294",2020-09-21,"S12000036","City of Edinburgh",0
"1295",2020-09-21,"S12000030","Stirling",0
"1296",2020-09-21,"S08000025","Orkney",0
"1297",2020-09-21,"S12000045","East Dunbartonshire",1
"1298",2020-09-21,"S12000023","Orkney Islands",0
"1299",2020-09-21,"S12000014","Falkirk",1
"1300",2020-09-21,"S12000011","East Renfrewshire",1
"1301",2020-09-21,"S12000021","North Ayrshire",0
"1302",2020-09-21,"S08000020","Grampian",0
"1303",2020-09-21,"S12000020","Moray",0
"1304",2020-09-21,"S12000013","Na h-Eileanan Siar",0
"1305",2020-09-21,"S12000027","Shetland Islands",0
"1306",2020-09-21,"S12000041","Angus",1
"1307",2020-09-21,"S12000042","Dundee City",0
"1308",2020-09-21,"S12000040","West Lothian",0
"1309",2020-09-21,"S08000032","Lanarkshire",3
"1310",2020-09-21,"S12000010","East Lothian",0
"1311",2020-09-21,"S12000029","South Lanarkshire",1
"1312",2020-09-21,"S08000016","Borders",0
"1313",2020-09-21,"S12000006","Dumfries and Galloway",0
"1314",2020-09-21,"S08000015","Ayrshire and Arran",0
"1315",2020-09-21,"S12000047","Fife",1
"1316",2020-09-21,"S12000033","Aberdeen City",0
"1317",2020-09-28,"S08000026","Shetland",0
"1318",2020-09-28,"S08000025","Orkney",0
"1319",2020-09-28,"S12000041","Angus",0
"1320",2020-09-28,"S08000015","Ayrshire and Arran",1
"1321",2020-09-28,"S12000029","South Lanarkshire",0
"1322",2020-09-28,"S92000003","Scotland",20
"1323",2020-09-28,"S08000029","Fife",0
"1324",2020-09-28,"S08000020","Grampian",0
"1325",2020-09-28,"S12000036","City of Edinburgh",0
"1326",2020-09-28,"S12000008","East Ayrshire",1
"1327",2020-09-28,"S12000026","Scottish Borders",2
"1328",2020-09-28,"S08000017","Dumfries and Galloway",1
"1329",2020-09-28,"S08000031","Greater Glasgow and Clyde",6
"1330",2020-09-28,"S08000024","Lothian",3
"1331",2020-09-28,"S12000013","Na h-Eileanan Siar",0
"1332",2020-09-28,"S12000042","Dundee City",0
"1333",2020-09-28,"S12000011","East Renfrewshire",0
"1334",2020-09-28,"S08000019","Forth Valley",1
"1335",2020-09-28,"S12000005","Clackmannanshire",0
"1336",2020-09-28,"S12000050","North Lanarkshire",5
"1337",2020-09-28,"S08000030","Tayside",0
"1338",2020-09-28,"S12000035","Argyll and Bute",1
"1339",2020-09-28,"S12000021","North Ayrshire",0
"1340",2020-09-28,"S12000014","Falkirk",1
"1341",2020-09-28,"S08000016","Borders",2
"1342",2020-09-28,"S12000019","Midlothian",0
"1343",2020-09-28,"S08000032","Lanarkshire",5
"1344",2020-09-28,"S12000006","Dumfries and Galloway",1
"1345",2020-09-28,"S12000034","Aberdeenshire",0
"1346",2020-09-28,"S12000023","Orkney Islands",0
"1347",2020-09-28,"S12000040","West Lothian",3
"1348",2020-09-28,"S12000017","Highland",0
"1349",2020-09-28,"S08000028","Western Isles",0
"1350",2020-09-28,"S12000020","Moray",0
"1351",2020-09-28,"S12000039","West Dunbartonshire",1
"1352",2020-09-28,"S12000047","Fife",0
"1353",2020-09-28,"S12000049","Glasgow City",5
"1354",2020-09-28,"S12000033","Aberdeen City",0
"1355",2020-09-28,"S12000027","Shetland Islands",0
"1356",2020-09-28,"S12000048","Perth and Kinross",0
"1357",2020-09-28,"S12000030","Stirling",0
"1358",2020-09-28,"S12000010","East Lothian",0
"1359",2020-09-28,"S12000045","East Dunbartonshire",0
"1360",2020-09-28,"S12000038","Renfrewshire",0
"1361",2020-09-28,"S12000028","South Ayrshire",0
"1362",2020-09-28,"S08000022","Highland",1
"1363",2020-09-28,"S12000018","Inverclyde",0
"1364",2020-10-05,"S12000045","East Dunbartonshire",0
"1365",2020-10-05,"S12000026","Scottish Borders",0
"1366",2020-10-05,"S08000022","Highland",0
"1367",2020-10-05,"S08000016","Borders",0
"1368",2020-10-05,"S12000035","Argyll and Bute",0
"1369",2020-10-05,"S08000015","Ayrshire and Arran",1
"1370",2020-10-05,"S08000031","Greater Glasgow and Clyde",7
"1371",2020-10-05,"S12000048","Perth and Kinross",0
"1372",2020-10-05,"S08000029","Fife",0
"1373",2020-10-05,"S12000034","Aberdeenshire",0
"1374",2020-10-05,"S08000017","Dumfries and Galloway",0
"1375",2020-10-05,"S12000014","Falkirk",0
"1376",2020-10-05,"S12000023","Orkney Islands",0
"1377",2020-10-05,"S12000042","Dundee City",0
"1378",2020-10-05,"S08000020","Grampian",0
"1379",2020-10-05,"S12000013","Na h-Eileanan Siar",0
"1380",2020-10-05,"S12000039","West Dunbartonshire",0
"1381",2020-10-05,"S12000018","Inverclyde",0
"1382",2020-10-05,"S12000033","Aberdeen City",0
"1383",2020-10-05,"S12000040","West Lothian",4
"1384",2020-10-05,"S12000006","Dumfries and Galloway",0
"1385",2020-10-05,"S12000041","Angus",0
"1386",2020-10-05,"S12000030","Stirling",0
"1387",2020-10-05,"S12000011","East Renfrewshire",1
"1388",2020-10-05,"S08000032","Lanarkshire",9
"1389",2020-10-05,"S12000027","Shetland Islands",0
"1390",2020-10-05,"S12000049","Glasgow City",6
"1391",2020-10-05,"S12000029","South Lanarkshire",1
"1392",2020-10-05,"S08000026","Shetland",0
"1393",2020-10-05,"S08000024","Lothian",8
"1394",2020-10-05,"S08000019","Forth Valley",0
"1395",2020-10-05,"S12000020","Moray",0
"1396",2020-10-05,"S08000030","Tayside",0
"1397",2020-10-05,"S12000036","City of Edinburgh",3
"1398",2020-10-05,"S12000008","East Ayrshire",1
"1399",2020-10-05,"S12000050","North Lanarkshire",8
"1400",2020-10-05,"S12000047","Fife",0
"1401",2020-10-05,"S12000038","Renfrewshire",0
"1402",2020-10-05,"S12000028","South Ayrshire",0
"1403",2020-10-05,"S08000028","Western Isles",0
"1404",2020-10-05,"S12000021","North Ayrshire",0
"1405",2020-10-05,"S12000017","Highland",0
"1406",2020-10-05,"S12000019","Midlothian",1
"1407",2020-10-05,"S08000025","Orkney",0
"1408",2020-10-05,"S12000010","East Lothian",0
"1409",2020-10-05,"S92000003","Scotland",25
"1410",2020-10-05,"S12000005","Clackmannanshire",0
"1411",2020-10-12,"S12000034","Aberdeenshire",0
"1412",2020-10-12,"S08000020","Grampian",1
"1413",2020-10-12,"S08000017","Dumfries and Galloway",1
"1414",2020-10-12,"S12000021","North Ayrshire",1
"1415",2020-10-12,"S08000015","Ayrshire and Arran",10
"1416",2020-10-12,"S12000035","Argyll and Bute",1
"1417",2020-10-12,"S12000038","Renfrewshire",3
"1418",2020-10-12,"S08000019","Forth Valley",2
"1419",2020-10-12,"S08000028","Western Isles",1
"1420",2020-10-12,"S12000030","Stirling",0
"1421",2020-10-12,"S12000048","Perth and Kinross",1
"1422",2020-10-12,"S12000013","Na h-Eileanan Siar",1
"1423",2020-10-12,"S12000010","East Lothian",1
"1424",2020-10-12,"S12000018","Inverclyde",0
"1425",2020-10-12,"S08000032","Lanarkshire",8
"1426",2020-10-12,"S12000014","Falkirk",2
"1427",2020-10-12,"S12000017","Highland",0
"1428",2020-10-12,"S92000003","Scotland",76
"1429",2020-10-12,"S12000042","Dundee City",1
"1430",2020-10-12,"S12000019","Midlothian",0
"1431",2020-10-12,"S12000011","East Renfrewshire",2
"1432",2020-10-12,"S12000006","Dumfries and Galloway",1
"1433",2020-10-12,"S12000049","Glasgow City",18
"1434",2020-10-12,"S12000047","Fife",2
"1435",2020-10-12,"S12000028","South Ayrshire",3
"1436",2020-10-12,"S12000005","Clackmannanshire",0
"1437",2020-10-12,"S12000041","Angus",0
"1438",2020-10-12,"S08000022","Highland",1
"1439",2020-10-12,"S12000050","North Lanarkshire",5
"1440",2020-10-12,"S12000027","Shetland Islands",0
"1441",2020-10-12,"S08000026","Shetland",0
"1442",2020-10-12,"S08000031","Greater Glasgow and Clyde",31
"1443",2020-10-12,"S08000024","Lothian",17
"1444",2020-10-12,"S12000026","Scottish Borders",0
"1445",2020-10-12,"S12000040","West Lothian",11
"1446",2020-10-12,"S12000008","East Ayrshire",6
"1447",2020-10-12,"S08000016","Borders",0
"1448",2020-10-12,"S08000029","Fife",2
"1449",2020-10-12,"S12000036","City of Edinburgh",5
"1450",2020-10-12,"S12000033","Aberdeen City",1
"1451",2020-10-12,"S12000039","West Dunbartonshire",5
"1452",2020-10-12,"S12000023","Orkney Islands",0
"1453",2020-10-12,"S12000045","East Dunbartonshire",3
"1454",2020-10-12,"S08000030","Tayside",2
"1455",2020-10-12,"S08000025","Orkney",0
"1456",2020-10-12,"S12000020","Moray",0
"1457",2020-10-12,"S12000029","South Lanarkshire",3
"1458",2020-10-19,"S12000041","Angus",2
"1459",2020-10-19,"S92000003","Scotland",107
"1460",2020-10-19,"S12000045","East Dunbartonshire",4
"1461",2020-10-19,"S12000038","Renfrewshire",6
"1462",2020-10-19,"S12000011","East Renfrewshire",3
"1463",2020-10-19,"S12000040","West Lothian",6
"1464",2020-10-19,"S12000010","East Lothian",1
"1465",2020-10-19,"S12000039","West Dunbartonshire",2
"1466",2020-10-19,"S08000022","Highland",3
"1467",2020-10-19,"S12000005","Clackmannanshire",0
"1468",2020-10-19,"S12000008","East Ayrshire",4
"1469",2020-10-19,"S08000026","Shetland",0
"1470",2020-10-19,"S08000025","Orkney",0
"1471",2020-10-19,"S12000018","Inverclyde",0
"1472",2020-10-19,"S12000023","Orkney Islands",0
"1473",2020-10-19,"S12000034","Aberdeenshire",1
"1474",2020-10-19,"S08000016","Borders",1
"1475",2020-10-19,"S08000015","Ayrshire and Arran",9
"1476",2020-10-19,"S12000033","Aberdeen City",3
"1477",2020-10-19,"S12000027","Shetland Islands",0
"1478",2020-10-19,"S08000019","Forth Valley",2
"1479",2020-10-19,"S08000024","Lothian",14
"1480",2020-10-19,"S12000035","Argyll and Bute",2
"1481",2020-10-19,"S12000026","Scottish Borders",1
"1482",2020-10-19,"S08000017","Dumfries and Galloway",4
"1483",2020-10-19,"S12000028","South Ayrshire",1
"1484",2020-10-19,"S12000042","Dundee City",1
"1485",2020-10-19,"S12000019","Midlothian",1
"1486",2020-10-19,"S12000006","Dumfries and Galloway",4
"1487",2020-10-19,"S12000014","Falkirk",1
"1488",2020-10-19,"S12000017","Highland",1
"1489",2020-10-19,"S12000013","Na h-Eileanan Siar",0
"1490",2020-10-19,"S08000020","Grampian",5
"1491",2020-10-19,"S12000036","City of Edinburgh",6
"1492",2020-10-19,"S12000021","North Ayrshire",4
"1493",2020-10-19,"S12000048","Perth and Kinross",0
"1494",2020-10-19,"S08000031","Greater Glasgow and Clyde",45
"1495",2020-10-19,"S08000029","Fife",1
"1496",2020-10-19,"S12000049","Glasgow City",30
"1497",2020-10-19,"S08000030","Tayside",3
"1498",2020-10-19,"S08000032","Lanarkshire",20
"1499",2020-10-19,"S12000050","North Lanarkshire",6
"1500",2020-10-19,"S12000030","Stirling",1
"1501",2020-10-19,"S12000029","South Lanarkshire",14
"1502",2020-10-19,"S12000020","Moray",1
"1503",2020-10-19,"S08000028","Western Isles",0
"1504",2020-10-19,"S12000047","Fife",1
"1505",2020-10-26,"S12000011","East Renfrewshire",2
"1506",2020-10-26,"S08000016","Borders",2
"1507",2020-10-26,"S12000038","Renfrewshire",7
"1508",2020-10-26,"S92000003","Scotland",168
"1509",2020-10-26,"S12000033","Aberdeen City",4
"1510",2020-10-26,"S12000027","Shetland Islands",0
"1511",2020-10-26,"S12000010","East Lothian",2
"1512",2020-10-26,"S08000024","Lothian",16
"1513",2020-10-26,"S12000014","Falkirk",2
"1514",2020-10-26,"S08000026","Shetland",0
"1515",2020-10-26,"S12000005","Clackmannanshire",0
"1516",2020-10-26,"S08000030","Tayside",8
"1517",2020-10-26,"S12000042","Dundee City",4
"1518",2020-10-26,"S12000049","Glasgow City",34
"1519",2020-10-26,"S12000036","City of Edinburgh",4
"1520",2020-10-26,"S12000034","Aberdeenshire",1
"1521",2020-10-26,"S08000017","Dumfries and Galloway",10
"1522",2020-10-26,"S12000018","Inverclyde",0
"1523",2020-10-26,"S12000041","Angus",0
"1524",2020-10-26,"S12000050","North Lanarkshire",29
"1525",2020-10-26,"S08000025","Orkney",0
"1526",2020-10-26,"S12000039","West Dunbartonshire",3
"1527",2020-10-26,"S08000031","Greater Glasgow and Clyde",51
"1528",2020-10-26,"S12000026","Scottish Borders",2
"1529",2020-10-26,"S12000017","Highland",0
"1530",2020-10-26,"S08000015","Ayrshire and Arran",18
"1531",2020-10-26,"S08000019","Forth Valley",2
"1532",2020-10-26,"S12000047","Fife",4
"1533",2020-10-26,"S08000028","Western Isles",0
"1534",2020-10-26,"S12000013","Na h-Eileanan Siar",0
"1535",2020-10-26,"S08000020","Grampian",5
"1536",2020-10-26,"S12000048","Perth and Kinross",4
"1537",2020-10-26,"S12000019","Midlothian",1
"1538",2020-10-26,"S12000008","East Ayrshire",8
"1539",2020-10-26,"S12000040","West Lothian",9
"1540",2020-10-26,"S12000035","Argyll and Bute",0
"1541",2020-10-26,"S08000022","Highland",0
"1542",2020-10-26,"S12000030","Stirling",0
"1543",2020-10-26,"S12000020","Moray",0
"1544",2020-10-26,"S12000028","South Ayrshire",3
"1545",2020-10-26,"S12000021","North Ayrshire",7
"1546",2020-10-26,"S12000029","South Lanarkshire",23
"1547",2020-10-26,"S12000006","Dumfries and Galloway",10
"1548",2020-10-26,"S08000029","Fife",4
"1549",2020-10-26,"S12000023","Orkney Islands",0
"1550",2020-10-26,"S08000032","Lanarkshire",52
"1551",2020-10-26,"S12000045","East Dunbartonshire",5
"1552",2020-11-02,"S08000032","Lanarkshire",43
"1553",2020-11-02,"S08000024","Lothian",19
"1554",2020-11-02,"S12000027","Shetland Islands",0
"1555",2020-11-02,"S12000019","Midlothian",1
"1556",2020-11-02,"S12000048","Perth and Kinross",3
"1557",2020-11-02,"S08000017","Dumfries and Galloway",2
"1558",2020-11-02,"S12000041","Angus",2
"1559",2020-11-02,"S08000019","Forth Valley",15
"1560",2020-11-02,"S12000026","Scottish Borders",1
"1561",2020-11-02,"S12000040","West Lothian",6
"1562",2020-11-02,"S12000020","Moray",0
"1563",2020-11-02,"S08000016","Borders",1
"1564",2020-11-02,"S12000033","Aberdeen City",1
"1565",2020-11-02,"S12000029","South Lanarkshire",23
"1566",2020-11-02,"S08000022","Highland",5
"1567",2020-11-02,"S12000005","Clackmannanshire",4
"1568",2020-11-02,"S08000028","Western Isles",0
"1569",2020-11-02,"S12000021","North Ayrshire",6
"1570",2020-11-02,"S08000015","Ayrshire and Arran",22
"1571",2020-11-02,"S12000008","East Ayrshire",8
"1572",2020-11-02,"S08000031","Greater Glasgow and Clyde",86
"1573",2020-11-02,"S08000020","Grampian",3
"1574",2020-11-02,"S12000034","Aberdeenshire",2
"1575",2020-11-02,"S12000045","East Dunbartonshire",6
"1576",2020-11-02,"S12000035","Argyll and Bute",4
"1577",2020-11-02,"S12000036","City of Edinburgh",12
"1578",2020-11-02,"S12000017","Highland",1
"1579",2020-11-02,"S12000030","Stirling",3
"1580",2020-11-02,"S12000039","West Dunbartonshire",4
"1581",2020-11-02,"S12000047","Fife",1
"1582",2020-11-02,"S12000011","East Renfrewshire",6
"1583",2020-11-02,"S08000030","Tayside",12
"1584",2020-11-02,"S12000014","Falkirk",8
"1585",2020-11-02,"S12000038","Renfrewshire",8
"1586",2020-11-02,"S12000013","Na h-Eileanan Siar",0
"1587",2020-11-02,"S12000018","Inverclyde",1
"1588",2020-11-02,"S08000029","Fife",1
